tipo_genre,count,mean,median
Action,587,1.7073592849329065,0.9819058944444444
Adventure,286,3.8660472566925828,1.642172815
Animation,98,3.0995262690226997,1.5625105242043071
Comedy,629,3.2151893781603578,1.3914215
Crime,141,2.2776270718403384,1.1306030204081632
Documentary,28,6.565811274301901,1.4000972777777778
Drama,736,3.21539363754836,1.149760683068783
Family,38,2.7195566144192185,1.8179838863636362
Fantasy,91,2.419552337447415,1.298271846153846
Foreign,1,-0.5053333333333333,-0.5053333333333333
History,18,6.073236745093226,1.702818475
Horror,189,7.270516237772612,2.4921099019607844
Music,20,3.0132862954511994,0.63726613125
Mystery,27,4.1476075449537735,1.4937108923076923
Romance,70,3.434567089536911,1.3158412857142858
Science Fiction,79,4.189237539073704,1.842603464516129
Thriller,115,2.151834865554706,1.1124252333333333
War,18,1.4663093693573295,0.014086032096774195
Western,22,7.311249120915187,1.9292727272727273
